customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_bucket,spending_category,estimated_clv,has_internet,is_month_to_month,churn_flag,age_group,churn_probability,predicted_churn,risk_tier
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,12-24 months,Low Value,649.35,True,True,False,Non-Senior,0.17913537961302584,0,Low
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,12-24 months,Low Value,303.2,False,False,False,Non-Senior,0.01907130731762733,0,Low
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,48+ months,High Value,5820.299999999999,True,False,False,Non-Senior,0.21402289849374143,0,Low
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,48+ months,High Value,5081.3,True,True,True,Non-Senior,0.5073614123876208,1,Medium
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,24-48 months,High Value,2637.5,True,True,False,Non-Senior,0.4574996965109789,0,Medium
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,48+ months,High Value,7814.25,True,False,False,Non-Senior,0.031677507805516314,0,Low
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,48+ months,Low Value,1073.8,False,False,False,Non-Senior,0.01964345630494842,0,Low
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,48+ months,High Value,7575.7,True,False,False,Non-Senior,0.04093414689735189,0,Low
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,0-12 months,Medium Value,552.0,True,True,True,Non-Senior,0.1640908709853305,0,Low
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,12-24 months,High Value,1891.05,True,True,False,Non-Senior,0.48978825919824226,0,Medium
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,0-12 months,Low Value,39.65,True,True,True,Senior,0.7448524320708194,1,High
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,0-12 months,Low Value,237.60000000000002,False,False,False,Non-Senior,0.06526302463298213,0,Low
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,0-12 months,Low Value,20.15,False,True,True,Non-Senior,0.1950963716245808,0,Low
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,48+ months,Medium Value,3474.2,True,False,False,Non-Senior,0.0222645909259905,0,Low
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,48+ months,Medium Value,2920.4,True,True,False,Non-Senior,0.03760505375468822,0,Low
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,24-48 months,Medium Value,1659.0,True,True,False,Non-Senior,0.09766760755599256,0,Low
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,24-48 months,High Value,4669.45,True,True,True,Non-Senior,0.42424488875253896,0,Medium
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,0-12 months,Low Value,30.2,True,True,True,Non-Senior,0.4787720359551415,0,Medium
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,48+ months,High Value,6498.0,True,False,False,Non-Senior,0.017725896485987973,0,Low
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,12-24 months,Medium Value,1099.9,True,True,True,Non-Senior,0.2779044333907795,0,Low
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,48+ months,High Value,6840.849999999999,True,False,False,Senior,0.030558886071116963,0,Low
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,0-12 months,High Value,191.0,True,True,False,Senior,0.7866567388159202,1,High
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,24-48 months,Medium Value,1786.0500000000002,True,False,False,Non-Senior,0.02702443120707496,0,Low
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,0-12 months,Low Value,20.2,False,True,False,Non-Senior,0.18413896993950243,0,Low
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,0-12 months,Low Value,45.25,True,True,False,Senior,0.4000282443518691,0,Medium
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,48+ months,High Value,7192.8,True,False,False,Non-Senior,0.01970748185088736,0,Low
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,0-12 months,Medium Value,348.5,True,True,True,Non-Senior,0.6873933306358733,1,Medium
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,24-48 months,Medium Value,3440.7999999999997,True,True,False,Non-Senior,0.20819290037316338,0,Low
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,24-48 months,High Value,3615.8999999999996,True,True,True,Non-Senior,0.5890753622928978,1,Medium
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,0-12 months,High Value,1076.35,True,True,True,Non-Senior,0.7594197884875835,1,High
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,0-12 months,Low Value,495.5,True,False,False,Non-Senior,0.12950600385375272,0,Low
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,48+ months,Medium Value,4844.0,True,False,False,Non-Senior,0.014601622645078747,0,Low
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,12-24 months,Low Value,352.75,False,False,False,Non-Senior,0.03263228595067317,0,Low
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,48+ months,Medium Value,5030.549999999999,True,False,False,Non-Senior,0.017150506431879327,0,Low
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,12-24 months,Medium Value,990.6,True,True,False,Non-Senior,0.26392704722136046,0,Low
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,48+ months,High Value,4140.5,True,True,False,Non-Senior,0.5345842412427728,1,Medium
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,0-12 months,Low Value,98.5,True,True,False,Non-Senior,0.3411564255646556,0,Low
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,0-12 months,Medium Value,161.3,True,True,True,Non-Senior,0.7625559022667253,1,High
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,48+ months,Medium Value,4147.0,True,False,False,Non-Senior,0.041238188192168214,0,Low
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,48+ months,Medium Value,4426.35,True,False,False,Non-Senior,0.009318045837963961,0,Low
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,24-48 months,High Value,3880.75,True,True,False,Senior,0.45782011948154694,0,Medium
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,12-24 months,High Value,1486.5,True,True,True,Non-Senior,0.4317897689072729,0,Medium
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,24-48 months,Medium Value,1737.5,True,True,False,Senior,0.2095803549804958,0,Low
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,0-12 months,Medium Value,645.2,True,True,True,Senior,0.6569386577145547,1,Medium
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,48+ months,Medium Value,4491.0,True,False,False,Senior,0.02724836302272789,0,Low
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,12-24 months,High Value,1718.1000000000001,True,True,True,Senior,0.7351799503338683,1,High
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,48+ months,High Value,6277.950000000001,True,False,False,Non-Senior,0.15345697066867567,0,Low
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,48+ months,High Value,7157.7,True,False,False,Senior,0.21317823990247392,0,Low
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,24-48 months,Low Value,848.3,False,False,False,Non-Senior,0.013068499324658896,0,Low
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,48+ months,High Value,7740.0,True,False,False,Non-Senior,0.07323745764035847,0,Low
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,24-48 months,High Value,4723.5,True,True,False,Non-Senior,0.5047416298636054,1,Medium
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,48+ months,High Value,5394.0,True,True,False,Non-Senior,0.32216149444551734,0,Low
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,48+ months,Low Value,3031.2000000000003,True,False,False,Non-Senior,0.009707818078390862,0,Low
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,12-24 months,Medium Value,979.1999999999999,True,False,False,Non-Senior,0.0661362087442857,0,Low
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,0-12 months,High Value,849.6,True,True,True,Non-Senior,0.7659084940247122,1,High
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,0-12 months,Medium Value,225.89999999999998,True,True,False,Non-Senior,0.5050540772755736,1,Medium
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,24-48 months,Medium Value,3708.3,True,False,False,Non-Senior,0.186396171645835,0,Low
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,24-48 months,Medium Value,2455.2000000000003,True,False,False,Non-Senior,0.03514030823294103,0,Low
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,48+ months,Low Value,1007.4999999999999,False,False,False,Non-Senior,0.008122361497786942,0,Low
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,0-12 months,Medium Value,798.5,True,True,False,Non-Senior,0.48377577979795117,0,Medium
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,0-12 months,Low Value,49.05,True,True,False,Non-Senior,0.3121694665127601,0,Low
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,48+ months,Low Value,1060.8,False,False,False,Non-Senior,0.032538716270302005,0,Low
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,48+ months,High Value,7142.4,True,False,False,Senior,0.06902219997490773,0,Low
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,48+ months,Low Value,1503.5,False,False,False,Non-Senior,0.01039818249138396,0,Low
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,0-12 months,Medium Value,193.5,True,True,False,Non-Senior,0.2530764644178274,0,Low
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,48+ months,High Value,6188.0,True,False,False,Senior,0.22894334915224737,0,Low
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,24-48 months,Medium Value,2559.9,True,False,False,Non-Senior,0.040395849213800746,0,Low
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,0-12 months,Medium Value,437.2,True,True,False,Non-Senior,0.15904786235089394,0,Low
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,24-48 months,Medium Value,2242.5,True,True,False,Senior,0.2559804117938592,0,Low
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,24-48 months,Low Value,1165.5,False,False,False,Non-Senior,0.02413119537775654,0,Low
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,0-12 months,Medium Value,79.35,True,True,True,Non-Senior,0.734183831994479,1,High
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,0-12 months,Medium Value,556.05,True,True,False,Non-Senior,0.40713688322611186,0,Medium
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,0-12 months,Medium Value,526.0500000000001,True,True,True,Non-Senior,0.5875065547460464,1,Medium
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,24-48 months,High Value,4359.599999999999,True,True,False,Non-Senior,0.27343145661529206,0,Low
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,48+ months,Low Value,987.3499999999999,False,False,False,Non-Senior,0.015317186260198621,0,Low
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,0-12 months,High Value,893.6999999999999,True,True,False,Non-Senior,0.7430977787594049,1,High
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,24-48 months,Medium Value,2175.25,True,False,False,Non-Senior,0.06380389386823045,0,Low
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,No,24-48 months,Low Value,991.1999999999999,False,False,False,Non-Senior,0.00499274396250757,0,Low
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,24-48 months,Low Value,917.6999999999999,False,False,False,Non-Senior,0.008508769462273733,0,Low
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,24-48 months,Low Value,978.75,True,True,False,Non-Senior,0.2641340449527357,0,Low
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,24-48 months,Medium Value,2461.5,True,True,False,Non-Senior,0.20025394962150767,0,Low
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,0-12 months,Medium Value,74.7,True,True,False,Senior,0.6010366482308449,1,Medium
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,48+ months,High Value,5544.0,True,False,False,Non-Senior,0.023264845035319046,0,Low
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,48+ months,High Value,7218.25,True,True,False,Non-Senior,0.2681195776391441,0,Low
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,48+ months,High Value,7264.8,True,False,False,Non-Senior,0.09449700936085444,0,Low
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,0-12 months,Medium Value,947.4000000000001,True,True,True,Non-Senior,0.6167655295562039,1,Medium
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,48+ months,Medium Value,4746.349999999999,True,False,False,Non-Senior,0.01541341513687163,0,Low
0278-YXOOG,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,0-12 months,Low Value,105.25,False,True,True,Non-Senior,0.16749580108973422,0,Low
3212-KXOCR,Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,No,48+ months,Low Value,1092.0,False,False,False,Non-Senior,0.009085982361644542,0,Low
4598-XLKNJ,Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,24-48 months,High Value,2462.5,True,True,True,Senior,0.6383990586858482,1,Medium
6380-ARCEH,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,No,0-12 months,Low Value,20.2,False,True,False,Non-Senior,0.194984280212733,0,Low
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,No,0-12 months,Low Value,19.45,False,True,False,Non-Senior,0.21430531590865923,0,Low
7123-WQUHX,Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,No,24-48 months,High Value,3610.0,True,False,False,Non-Senior,0.15057719015967358,0,Low
5386-THSLQ,Female,1,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,No,48+ months,Low Value,3006.2999999999997,True,False,False,Senior,0.057755604469240183,0,Low
3192-NQECA,Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,48+ months,High Value,7480.0,True,False,True,Non-Senior,0.08149200975958243,0,Low
6180-YBIQI,Male,0,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,No,0-12 months,Low Value,121.5,True,True,False,Non-Senior,0.4422066220259273,0,Medium
6728-DKUCO,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,No,48+ months,High Value,7498.8,True,False,False,Non-Senior,0.13924492363487845,0,Low
9750-BOOHV,Female,0,No,No,32,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,No,24-48 months,Low Value,964.8,True,False,False,Non-Senior,0.06737169457307987,0,Low
8597-CWYHH,Male,0,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,No,24-48 months,High Value,4057.0499999999997,True,False,False,Non-Senior,0.21788296168344087,0,Low
